"Song Name",Popularity,popularity_rank
"Zubaan (From "Manje Bistre 2"")"",18,379
"Zubaan (From "Manje Bistre 2"")"",18,379
"Zubaan (From "Manje Bistre 2"")"",18,379
"Zubaan (From "Manje Bistre 2"")"",18,379
"Zubaan (From "Manje Bistre 2"")"",18,379
"Zubaan (From "Manje Bistre 2"")"",18,379
"True Love",11,387
"True Love",11,387
"True Love",11,387
"Kahani (From "Kahani"")"",11,387
"True Love",11,387
"Kahani (From "Kahani"")"",11,387
"True Love",11,387
"Kahani (From "Kahani"")"",11,387
"True Love",11,387
"Kahani (From "Kahani"")"",11,387
"True Love",11,387
