"Song Name",Popularity
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46
Relation,46
Paagla,46
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46
Relation,46
Paagla,46
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46
Relation,46
Paagla,46
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46
Relation,46
Paagla,46
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46
Relation,46
Paagla,46
Chaal,47
Chaal,47
Chaal,47
Chaal,47
Chaal,47
Chaal,47
Chaal,47
Chaal,47
"Rabba Ve",51
"Rabba Ve",51
"Rabba Ve",51
"Rabba Ve",51
"Rabba Ve",51
"Rabba Ve",51
"Rabba Ve",51
"Rabba Ve",51
"Mann Bharrya",52
"Love Like Me",52
"Mann Bharrya",52
"Love Like Me",52
"Mann Bharrya",52
"Love Like Me",52
"Mann Bharrya",52
"Love Like Me",52
"Love Like Me",52
"Love Like Me",52
"Love Like Me",52
"Love Like Me",52
"Bewafai Kar Gaya - From "Lekh"""",53
"Bewafai Kar Gaya - From "Lekh"""",53
"Bewafai Kar Gaya - From "Lekh"""",53
"Bewafai Kar Gaya - From "Lekh"""",53
"Bewafai Kar Gaya - From "Lekh"""",53
"Bewafai Kar Gaya - From "Lekh"""",53
"Bewafai Kar Gaya - From "Lekh"""",53
"In Love Again",54
"In Love Again",54
"In Love Again",54
"In Love Again",54
"In Love Again",54
"In Love Again",54
"In Love Again",54
"In Love Again",54
Beliya,58
Beliya,58
Beliya,58
Beliya,58
Beliya,58
Beliya,58
"Temporary pyar",59
"Temporary pyar",59
"Temporary pyar",59
"Temporary pyar",59
"Temporary pyar",59
"Vail (feat. Nimrat Khaira & Shree Brar)",61
"Vail (feat. Nimrat Khaira & Shree Brar)",61
"Vail (feat. Nimrat Khaira & Shree Brar)",61
"Gal Karke",64
"Gal Karke",64
"Distance Love",70
